Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Reactome Gene Sets,6,R-HSA-512988,"Interleukin-3, Interleukin-5 and GM-CSF signaling",,-5.6,5.1,6.4,28162,48,1393,12,0.86,0.25,2534|2885|3558|3559|3560|3561|3635|3716|3718|5293|7314|7534,FYN|GRB2|IL2|IL2RA|IL2RB|IL2RG|INPP5D|JAK1|JAK3|PIK3CD|UBB|YWHAZ,-4.4,N0
Reactome Gene Sets,6,R-HSA-5663202,Diseases of signal transduction by growth factor receptors and second messengers,,-5.5,2.1,5.2,28162,395,1393,42,3,0.46,60|71|102|801|805|940|1487|2100|2534|2885|3084|3516|3932|4233|5293|5436|5441|5515|5527|5698|5699|5721|5880|5908|6500|7046|7314|7529|8826|9208|9611|11064|11221|29851|50852|51411|54518|55294|56829|79718|80824|255324,ACTB|ACTG1|ADAM10|CALM1|CALM2|CD28|CTBP1|ESR2|FYN|GRB2|NRG1|RBPJ|LCK|MET|PIK3CD|POLR2G|POLR2L|PPP2CA|PPP2R5C|PSMB9|PSMB10|PSME2|RAC2|RAP1B|SKP1|TGFBR1|UBB|YWHAB|IQGAP1|LRRFIP1|NCOR1|CNTRL|DUSP10|ICOS|TRAT1|BIN2|APBB1IP|FBXW7|ZC3HAV1|TBL1XR1|DUSP16|EPGN,-4.3,N0
KEGG Pathway,24,hsa05200,Pathways in cancer ,,-5.5,2.1,5.2,28162,395,1393,42,3,0.46,330|331|355|624|868|998|1288|1487|2113|2771|2786|2793|2885|3091|3675|3716|3909|3918|4233|5293|5567|5579|5734|5880|5900|6502|6513|6789|7046|7170|7428|7852|9138|10125|10161|23604|51176|54331|54361|80326|83593|94235,BIRC3|XIAP|FAS|BDKRB2|CBLB|CDC42|COL4A6|CTBP1|ETS1|GNAI2|GNG4|GNGT2|GRB2|HIF1A|ITGA3|JAK1|LAMA3|LAMC2|MET|PIK3CD|PRKACB|PRKCB|PTGER4|RAC2|RALGDS|SKP2|SLC2A1|STK4|TGFBR1|TPM3|VHL|CXCR4|ARHGEF1|RASGRP1|LPAR6|DAPK2|LEF1|GNG2|WNT4|WNT10A|RASSF5|GNG8,-4.3,N0
Reactome Gene Sets,6,R-HSA-8856828,Clathrin-mediated endocytosis,,-5.5,3,5.7,28162,146,1393,22,1.6,0.33,60|71|154|274|382|915|917|920|2885|3312|3575|6844|7314|8027|8673|10092|10093|10109|23208|30011|90019|255324,ACTB|ACTG1|ADRB2|BIN1|ARF6|CD3D|CD3G|CD4|GRB2|HSPA8|IL7R|VAMP2|UBB|STAM|VAMP8|ARPC5|ARPC4|ARPC2|SYT11|SH3KBP1|SYT8|EPGN,-4.3,N0
KEGG Pathway,24,hsa04670,Leukocyte transendothelial migration ,,-5.5,3.4,5.8,28162,114,1393,19,1.4,0.31,60|71|399|998|2771|3683|3689|3702|4689|5293|5579|5880|5908|7430|7852|10451|10627|83593|103910,ACTB|ACTG1|RHOH|CDC42|GNAI2|ITGAL|ITGB2|ITK|NCF4|PIK3CD|PRKCB|RAC2|RAP1B|EZR|CXCR4|VAV3|MYL12A|RASSF5|MYL12B,-4.3,N0
KEGG Pathway,24,ko04670,Leukocyte transendothelial migration,,-5.5,3.4,5.8,28162,114,1393,19,1.4,0.31,60|71|399|998|2771|3683|3689|3702|4689|5293|5579|5880|5908|7430|7852|10451|10627|83593|103910,ACTB|ACTG1|RHOH|CDC42|GNAI2|ITGAL|ITGB2|ITK|NCF4|PIK3CD|PRKCB|RAC2|RAP1B|EZR|CXCR4|VAV3|MYL12A|RASSF5|MYL12B,-4.3,N0
KEGG Pathway,24,ko05144,Malaria,,-5.5,5,6.3,28162,49,1393,12,0.86,0.25,959|3039|3040|3458|3586|3606|3683|3689|4233|7124|22914|100528032,CD40LG|HBA1|HBA2|IFNG|IL10|IL18|ITGAL|ITGB2|MET|TNF|KLRK1|KLRC4-KLRK1,-4.3,N0
Reactome Gene Sets,6,R-HSA-912526,Interleukin receptor SHC signaling,,-5.4,6.7,6.8,28162,27,1393,9,0.65,0.21,2885|3558|3559|3560|3561|3635|3716|3718|5293,GRB2|IL2|IL2RA|IL2RB|IL2RG|INPP5D|JAK1|JAK3|PIK3CD,-4.3,N0
Reactome Gene Sets,6,R-HSA-936440,Negative regulators of DDX58/IFIH1 signaling,,-5.4,5.9,6.6,28162,34,1393,10,0.72,0.23,1540|3093|5300|7128|7314|7318|7323|8887|54941|84166,CYLD|UBE2K|PIN1|TNFAIP3|UBB|UBA7|UBE2D3|TAX1BP1|RNF125|NLRC5,-4.3,N0
KEGG Pathway,24,hsa05203,Viral carcinogenesis,,-5.2,2.6,5.3,28162,211,1393,27,1.9,0.37,894|998|1237|1654|2885|3105|3106|3107|3133|3134|3135|3516|3716|3718|5293|5366|5567|5922|5934|5966|6502|6672|7529|7534|10010|10971|57472,CCND2|CDC42|CCR8|DDX3X|GRB2|HLA-A|HLA-B|HLA-C|HLA-E|HLA-F|HLA-G|RBPJ|JAK1|JAK3|PIK3CD|PMAIP1|PRKACB|RASA2|RBL2|REL|SKP2|SP100|YWHAB|YWHAZ|TANK|YWHAQ|CNOT6,-4.1,N0
Reactome Gene Sets,6,R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,,-5.2,2,5,28162,506,1393,49,3.5,0.49,60|71|102|382|801|805|998|1846|2534|2885|3084|3187|3398|3675|3727|3909|3918|3932|4233|4486|4664|4689|5436|5441|5515|5567|5579|5771|5900|5908|6195|6197|7074|7314|7529|8027|9047|9402|9611|9982|10006|10193|10451|23767|26999|30011|55824|117145|255324,ACTB|ACTG1|ADAM10|ARF6|CALM1|CALM2|CDC42|DUSP4|FYN|GRB2|NRG1|HNRNPH1|ID2|ITGA3|JUND|LAMA3|LAMC2|LCK|MET|MST1R|NAB1|NCF4|POLR2G|POLR2L|PPP2CA|PRKACB|PRKCB|PTPN2|RALGDS|RAP1B|RPS6KA1|RPS6KA3|TIAM1|UBB|YWHAB|STAM|SH2D2A|GRAP2|NCOR1|FGFBP1|ABI1|RNF41|VAV3|FLRT3|CYFIP2|SH3KBP1|PAG1|THEM4|EPGN,-4,N0
Reactome Gene Sets,6,R-HSA-168928,DDX58/IFIH1-mediated induction of interferon-alpha/beta,,-5,3.7,5.6,28162,81,1393,15,1.1,0.28,1540|3093|3146|3439|5300|6283|6288|7128|7314|7318|7323|8887|10010|54941|84166,CYLD|UBE2K|HMGB1|IFNA1|PIN1|S100A12|SAA1|TNFAIP3|UBB|UBA7|UBE2D3|TAX1BP1|TANK|RNF125|NLRC5,-3.9,N0
KEGG Pathway,24,hsa04666,Fc gamma R-mediated phagocytosis ,,-5,3.6,5.6,28162,91,1393,16,1.1,0.29,274|382|998|1072|1794|3635|5293|5579|5788|5880|10092|10093|10095|10109|10451|27040,BIN1|ARF6|CDC42|CFL1|DOCK2|INPP5D|PIK3CD|PRKCB|PTPRC|RAC2|ARPC5|ARPC4|ARPC1B|ARPC2|VAV3|LAT,-3.9,N0
KEGG Pathway,24,ko04666,Fc gamma R-mediated phagocytosis,,-5,3.6,5.6,28162,91,1393,16,1.1,0.29,274|382|998|1072|1794|3635|5293|5579|5788|5880|10092|10093|10095|10109|10451|27040,BIN1|ARF6|CDC42|CFL1|DOCK2|INPP5D|PIK3CD|PRKCB|PTPRC|RAC2|ARPC5|ARPC4|ARPC1B|ARPC2|VAV3|LAT,-3.9,N0
Reactome Gene Sets,6,R-HSA-416476,G alpha (q) signalling events,,-5,2.5,5.1,28162,216,1393,27,1.9,0.37,148|624|1606|1907|2769|2786|2793|2885|5583|5588|5996|5997|6003|6195|6197|6288|6375|6846|6915|8477|10125|10161|10911|27334|54331|56413|94235,ADRA1A|BDKRB2|DGKA|EDN2|GNA15|GNG4|GNGT2|GRB2|PRKCH|PRKCQ|RGS1|RGS2|RGS13|RPS6KA1|RPS6KA3|SAA1|XCL1|XCL2|TBXA2R|GPR65|RASGRP1|LPAR6|UTS2|P2RY10|GNG2|LTB4R2|GNG8,-3.9,N0
Reactome Gene Sets,6,R-HSA-983169,Class I MHC mediated antigen processing & presentation,,-4.9,2.1,4.9,28162,377,1393,39,2.8,0.44,567|811|868|2923|3093|3105|3106|3107|3133|3134|3135|3146|3309|4689|5698|5699|5721|6279|6280|6500|6502|6737|6892|7314|7318|7320|7323|7334|7335|7428|8673|10193|25897|26270|55294|57674|64167|84937|126433,B2M|CALR|CBLB|PDIA3|UBE2K|HLA-A|HLA-B|HLA-C|HLA-E|HLA-F|HLA-G|HMGB1|HSPA5|NCF4|PSMB9|PSMB10|PSME2|S100A8|S100A9|SKP1|SKP2|TRIM21|TAPBP|UBB|UBA7|UBE2B|UBE2D3|UBE2N|UBE2V1|VHL|VAMP8|RNF41|RNF19A|FBXO6|FBXW7|RNF213|ERAP2|ZNRF1|FBXO27,-3.8,N0
KEGG Pathway,24,hsa05144,Malaria,,-4.9,4.4,5.8,28162,55,1393,12,0.86,0.25,959|3039|3040|3458|3586|3606|3683|3689|4233|7124|22914|100528032,CD40LG|HBA1|HBA2|IFNG|IL10|IL18|ITGAL|ITGB2|MET|TNF|KLRK1|KLRC4-KLRK1,-3.8,N0
Reactome Gene Sets,6,R-HSA-5627123,RHO GTPases activate PAKs,,-4.9,6.7,6.4,28162,24,1393,8,0.57,0.2,801|805|998|4627|4637|4659|10627|103910,CALM1|CALM2|CDC42|MYH9|MYL6|PPP1R12A|MYL12A|MYL12B,-3.8,N0
KEGG Pathway,24,ko04064,NF-kappa B signaling pathway,,-4.8,3.4,5.4,28162,95,1393,16,1.1,0.29,330|331|472|959|3932|4050|5579|5588|6351|7124|7128|7535|9560|27040|51135|388372,BIRC3|XIAP|ATM|CD40LG|LCK|LTB|PRKCB|PRKCQ|CCL4|TNF|TNFAIP3|ZAP70|CCL4L2|LAT|IRAK4|CCL4L1,-3.7,N0
KEGG Pathway,24,hsa04510,Focal adhesion ,,-4.7,2.5,5,28162,199,1393,25,1.8,0.36,60|71|330|331|894|998|1288|2317|2534|2885|3675|3909|3918|4233|4659|5293|5499|5579|5880|5908|10451|10627|64098|103910|399694,ACTB|ACTG1|BIRC3|XIAP|CCND2|CDC42|COL4A6|FLNB|FYN|GRB2|ITGA3|LAMA3|LAMC2|MET|PPP1R12A|PIK3CD|PPP1CA|PRKCB|RAC2|RAP1B|VAV3|MYL12A|PARVG|MYL12B|SHC4,-3.6,N0
KEGG Pathway,24,ko04510,Focal adhesion,,-4.7,2.5,5,28162,199,1393,25,1.8,0.36,60|71|330|331|894|998|1288|2317|2534|2885|3675|3909|3918|4233|4659|5293|5499|5579|5880|5908|10451|10627|64098|103910|399694,ACTB|ACTG1|BIRC3|XIAP|CCND2|CDC42|COL4A6|FLNB|FYN|GRB2|ITGA3|LAMA3|LAMC2|MET|PPP1R12A|PIK3CD|PPP1CA|PRKCB|RAC2|RAP1B|VAV3|MYL12A|PARVG|MYL12B|SHC4,-3.6,N0
KEGG Pathway,24,hsa04064,NF-kappa B signaling pathway,,-4.7,3.2,5.2,28162,107,1393,17,1.2,0.29,330|331|472|959|3932|4050|5579|5588|6351|7124|7128|7535|9560|10010|27040|51135|388372,BIRC3|XIAP|ATM|CD40LG|LCK|LTB|PRKCB|PRKCQ|CCL4|TNF|TNFAIP3|ZAP70|CCL4L2|TANK|LAT|IRAK4|CCL4L1,-3.6,N0
KEGG Pathway,24,ko05203,Viral carcinogenesis,,-4.7,2.5,4.9,28162,201,1393,25,1.8,0.36,894|998|1237|1654|2885|3105|3106|3107|3133|3134|3135|3516|3716|3718|5293|5366|5567|5922|5934|5966|6502|6672|7529|7534|10971,CCND2|CDC42|CCR8|DDX3X|GRB2|HLA-A|HLA-B|HLA-C|HLA-E|HLA-F|HLA-G|RBPJ|JAK1|JAK3|PIK3CD|PMAIP1|PRKACB|RASA2|RBL2|REL|SKP2|SP100|YWHAB|YWHAZ|YWHAQ,-3.6,N0
Reactome Gene Sets,6,R-HSA-2871809,FCERI mediated Ca+2 mobilization,,-4.6,5.5,5.9,28162,33,1393,9,0.65,0.21,801|805|2885|3702|3937|5530|9402|10451|27040,CALM1|CALM2|GRB2|ITK|LCP2|PPP3CA|GRAP2|VAV3|LAT,-3.6,N0
KEGG Pathway,24,ko05205,Proteoglycans in cancer,,-4.6,2.5,4.9,28162,203,1393,25,1.8,0.36,60|71|355|868|998|1655|2317|2885|3059|3091|4233|4659|5293|5499|5567|5579|7074|7124|7430|8826|9138|27250|54361|79923|80326,ACTB|ACTG1|FAS|CBLB|CDC42|DDX5|FLNB|GRB2|HCLS1|HIF1A|MET|PPP1R12A|PIK3CD|PPP1CA|PRKACB|PRKCB|TIAM1|TNF|EZR|IQGAP1|ARHGEF1|PDCD4|WNT4|NANOG|WNT10A,-3.5,N0
KEGG Pathway,24,ko04010,MAPK signaling pathway,,-4.6,2.3,4.8,28162,255,1393,29,2.1,0.38,355|998|1843|1844|1846|2317|2885|3312|3552|3727|5530|5567|5579|5778|5880|5908|5922|6195|6197|6789|7046|7124|7850|10125|11184|11221|51347|55799|80824,FAS|CDC42|DUSP1|DUSP2|DUSP4|FLNB|GRB2|HSPA8|IL1A|JUND|PPP3CA|PRKACB|PRKCB|PTPN7|RAC2|RAP1B|RASA2|RPS6KA1|RPS6KA3|STK4|TGFBR1|TNF|IL1R2|RASGRP1|MAP4K1|DUSP10|TAOK3|CACNA2D3|DUSP16,-3.5,N0
KEGG Pathway,24,hsa04010,MAPK signaling pathway ,,-4.6,2.3,4.8,28162,255,1393,29,2.1,0.38,355|998|1843|1844|1846|2317|2885|3312|3552|3727|5530|5567|5579|5778|5880|5908|5922|6195|6197|6789|7046|7124|7850|10125|11184|11221|51347|55799|80824,FAS|CDC42|DUSP1|DUSP2|DUSP4|FLNB|GRB2|HSPA8|IL1A|JUND|PPP3CA|PRKACB|PRKCB|PTPN7|RAC2|RAP1B|RASA2|RPS6KA1|RPS6KA3|STK4|TGFBR1|TNF|IL1R2|RASGRP1|MAP4K1|DUSP10|TAOK3|CACNA2D3|DUSP16,-3.5,N0
Reactome Gene Sets,6,R-HSA-3928662,EPHB-mediated forward signaling,,-4.5,4.8,5.6,28162,42,1393,10,0.72,0.23,60|71|998|1072|2534|7074|10092|10093|10095|10109,ACTB|ACTG1|CDC42|CFL1|FYN|TIAM1|ARPC5|ARPC4|ARPC1B|ARPC2,-3.5,N0
Reactome Gene Sets,6,R-HSA-2454202,Fc epsilon receptor (FCERI) signaling,,-4.5,2.9,4.9,28162,134,1393,19,1.4,0.31,801|805|2534|2885|3702|3937|5530|5588|5698|5699|5721|6500|7314|7334|7335|9402|10125|10451|27040,CALM1|CALM2|FYN|GRB2|ITK|LCP2|PPP3CA|PRKCQ|PSMB9|PSMB10|PSME2|SKP1|UBB|UBE2N|UBE2V1|GRAP2|RASGRP1|VAV3|LAT,-3.4,N0
KEGG Pathway,24,ko04621,NOD-like receptor signaling pathway,,-4.4,2.6,4.8,28162,170,1393,22,1.6,0.33,330|331|834|837|3428|3439|3606|3716|4210|6352|7124|7128|9447|10010|22900|51135|91662|114769|115362|140609|171389|440068,BIRC3|XIAP|CASP1|CASP4|IFI16|IFNA1|IL18|JAK1|MEFV|CCL5|TNF|TNFAIP3|AIM2|TANK|CARD8|IRAK4|NLRP12|CARD16|GBP5|NEK7|NLRP6|CARD17,-3.4,N0
KEGG Pathway,24,hsa04621,NOD-like receptor signaling pathway ,,-4.4,2.6,4.8,28162,170,1393,22,1.6,0.33,330|331|834|837|3428|3439|3606|3716|4210|6352|7124|7128|9447|10010|22900|51135|91662|114769|115362|140609|171389|440068,BIRC3|XIAP|CASP1|CASP4|IFI16|IFNA1|IL18|JAK1|MEFV|CCL5|TNF|TNFAIP3|AIM2|TANK|CARD8|IRAK4|NLRP12|CARD16|GBP5|NEK7|NLRP6|CARD17,-3.4,N0
Reactome Gene Sets,6,R-HSA-5675221,Negative regulation of MAPK pathway,,-4.4,4.7,5.5,28162,43,1393,10,0.72,0.23,1843|1844|1846|5515|5527|5778|7314|7529|11221|80824,DUSP1|DUSP2|DUSP4|PPP2CA|PPP2R5C|PTPN7|UBB|YWHAB|DUSP10|DUSP16,-3.4,N0
KEGG Pathway,24,hsa04014,Ras signaling pathway,,-4.4,2.3,4.7,28162,259,1393,29,2.1,0.38,382|801|805|998|2113|2786|2793|2885|4233|5293|5567|5579|5880|5900|5908|5922|5966|6789|7074|7535|10125|27040|54331|64333|64926|83593|94235|283349|399694,ARF6|CALM1|CALM2|CDC42|ETS1|GNG4|GNGT2|GRB2|MET|PIK3CD|PRKACB|PRKCB|RAC2|RALGDS|RAP1B|RASA2|REL|STK4|TIAM1|ZAP70|RASGRP1|LAT|GNG2|ARHGAP9|RASAL3|RASSF5|GNG8|RASSF3|SHC4,-3.4,N0
KEGG Pathway,24,ko05143,African trypanosomiasis,,-4.4,5.2,5.7,28162,35,1393,9,0.65,0.21,355|3039|3040|3458|3586|3606|5579|7124|8542,FAS|HBA1|HBA2|IFNG|IL10|IL18|PRKCB|TNF|APOL1,-3.4,N0
Reactome Gene Sets,6,R-HSA-5668541,TNFR2 non-canonical NF-kB pathway,,-4.4,3.2,5,28162,102,1393,16,1.1,0.29,330|939|944|959|3604|4050|5698|5699|5721|6500|7124|7133|7293|7314|8744|8784,BIRC3|CD27|TNFSF8|CD40LG|TNFRSF9|LTB|PSMB9|PSMB10|PSME2|SKP1|TNF|TNFRSF1B|TNFRSF4|UBB|TNFSF9|TNFRSF18,-3.3,N0
Reactome Gene Sets,6,R-HSA-199418,Negative regulation of the PI3K/AKT network,,-4.4,3,5,28162,113,1393,17,1.2,0.29,940|2100|2534|2885|3084|3932|4233|5293|5305|5515|5527|5880|29851|50852|51135|117145|255324,CD28|ESR2|FYN|GRB2|NRG1|LCK|MET|PIK3CD|PIP4K2A|PPP2CA|PPP2R5C|RAC2|ICOS|TRAT1|IRAK4|THEM4|EPGN,-3.3,N0
Reactome Gene Sets,6,R-HSA-164938,Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters,,-4.3,6.7,6,28162,21,1393,7,0.5,0.19,567|920|926|940|3105|3932|130340,B2M|CD4|CD8B|CD28|HLA-A|LCK|AP1S3,-3.3,N0
KEGG Pathway,24,ko04015,Rap1 signaling pathway,,-4.3,2.4,4.7,28162,210,1393,25,1.8,0.36,60|71|801|805|998|2533|2771|3683|3689|3937|4233|5216|5293|5579|5880|5900|5908|7074|8631|10636|27040|51735|54518|83593|84552,ACTB|ACTG1|CALM1|CALM2|CDC42|FYB1|GNAI2|ITGAL|ITGB2|LCP2|MET|PFN1|PIK3CD|PRKCB|RAC2|RALGDS|RAP1B|TIAM1|SKAP1|RGS14|LAT|RAPGEF6|APBB1IP|RASSF5|PARD6G,-3.3,N0
Reactome Gene Sets,6,R-HSA-1445148,Translocation of SLC2A4 (GLUT4) to the plasma membrane,,-4.3,3.7,5.1,28162,72,1393,13,0.93,0.26,60|71|801|805|4627|4644|6844|7277|7529|7534|9882|10971|11127,ACTB|ACTG1|CALM1|CALM2|MYH9|MYO5A|VAMP2|TUBA4A|YWHAB|YWHAZ|TBC1D4|YWHAQ|KIF3A,-3.3,N0
KEGG Pathway,24,hsa04380,Osteoclast differentiation,,-4.3,2.8,4.8,28162,138,1393,19,1.4,0.31,54|814|1540|2534|2885|3458|3552|3716|3727|3932|3937|4689|5293|5530|7046|7124|10010|54209|55423,ACP5|CAMK4|CYLD|FYN|GRB2|IFNG|IL1A|JAK1|JUND|LCK|LCP2|NCF4|PIK3CD|PPP3CA|TGFBR1|TNF|TANK|TREM2|SIRPG,-3.2,N0
Reactome Gene Sets,6,R-HSA-168638,NOD1/2 Signaling Pathway,,-4.2,4.9,5.4,28162,37,1393,9,0.65,0.21,330|834|835|837|1540|7128|7314|7334|7335,BIRC3|CASP1|CASP2|CASP4|CYLD|TNFAIP3|UBB|UBE2N|UBE2V1,-3.2,N0
Reactome Gene Sets,6,R-HSA-6811558,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",,-4.2,3.1,4.8,28162,106,1393,16,1.1,0.29,940|2100|2534|2885|3084|3932|4233|5293|5305|5515|5527|5880|29851|50852|51135|255324,CD28|ESR2|FYN|GRB2|NRG1|LCK|MET|PIK3CD|PIP4K2A|PPP2CA|PPP2R5C|RAC2|ICOS|TRAT1|IRAK4|EPGN,-3.2,N0
KEGG Pathway,24,hsa04015,Rap1 signaling pathway,,-4.2,2.3,4.5,28162,228,1393,26,1.9,0.36,60|71|801|805|998|2533|2771|3683|3689|3937|4233|5216|5293|5579|5880|5900|5908|7074|8631|10636|27040|51735|54518|83593|84552|283349,ACTB|ACTG1|CALM1|CALM2|CDC42|FYB1|GNAI2|ITGAL|ITGB2|LCP2|MET|PFN1|PIK3CD|PRKCB|RAC2|RALGDS|RAP1B|TIAM1|SKAP1|RGS14|LAT|RAPGEF6|APBB1IP|RASSF5|PARD6G|RASSF3,-3.1,N0
Reactome Gene Sets,6,R-HSA-446652,Interleukin-1 family signaling,,-4.2,2.7,4.7,28162,141,1393,19,1.4,0.31,834|3146|3552|3606|5698|5699|5721|5771|5778|6283|6288|6500|7314|7334|7335|7850|8807|26095|51135,CASP1|HMGB1|IL1A|IL18|PSMB9|PSMB10|PSME2|PTPN2|PTPN7|S100A12|SAA1|SKP1|UBB|UBE2N|UBE2V1|IL1R2|IL18RAP|PTPN20|IRAK4,-3.1,N0
KEGG Pathway,24,ko04380,Osteoclast differentiation,,-4.1,2.8,4.7,28162,130,1393,18,1.3,0.3,54|814|1540|2534|2885|3458|3552|3716|3727|3932|3937|4689|5293|5530|7046|7124|54209|55423,ACP5|CAMK4|CYLD|FYN|GRB2|IFNG|IL1A|JAK1|JUND|LCK|LCP2|NCF4|PIK3CD|PPP3CA|TGFBR1|TNF|TREM2|SIRPG,-3.1,N0
KEGG Pathway,24,hsa04611,Platelet activation,,-4.1,2.8,4.7,28162,130,1393,18,1.3,0.3,60|71|2534|2771|3937|4659|5293|5499|5567|5908|6915|8673|9138|10125|10627|54518|83706|103910,ACTB|ACTG1|FYN|GNAI2|LCP2|PPP1R12A|PIK3CD|PPP1CA|PRKACB|RAP1B|TBXA2R|VAMP8|ARHGEF1|RASGRP1|MYL12A|APBB1IP|FERMT3|MYL12B,-3.1,N0
KEGG Pathway,24,hsa05202,Transcriptional misregulation in cancer,,-4.1,2.4,4.5,28162,204,1393,24,1.7,0.35,330|472|860|894|1236|1655|2130|2313|2892|3002|3021|3398|3486|3560|4005|4094|4233|5966|7850|9611|51804|64919|199699|440093,BIRC3|ATM|RUNX2|CCND2|CCR7|DDX5|EWSR1|FLI1|GRIA3|GZMB|H3-3B|ID2|IGFBP3|IL2RB|LMO2|MAF|MET|REL|IL1R2|NCOR1|SIX4|BCL11B|DAND5|H3-5,-3.1,N0
KEGG Pathway,24,hsa05205,Proteoglycans in cancer,,-4.1,2.3,4.5,28162,218,1393,25,1.8,0.36,60|71|355|868|998|1655|2317|2885|3059|3091|4233|4659|5293|5499|5567|5579|7074|7124|7430|8826|9138|27250|54361|79923|80326,ACTB|ACTG1|FAS|CBLB|CDC42|DDX5|FLNB|GRB2|HCLS1|HIF1A|MET|PPP1R12A|PIK3CD|PPP1CA|PRKACB|PRKCB|TIAM1|TNF|EZR|IQGAP1|ARHGEF1|PDCD4|WNT4|NANOG|WNT10A,-3.1,N0
KEGG Pathway,24,ko05202,Transcriptional misregulation in cancer,,-4.1,2.5,4.5,28162,180,1393,22,1.6,0.33,330|472|860|894|1236|1655|2130|2313|2892|3002|3021|3398|3486|3560|4005|4094|4233|5966|7850|9611|51804|440093,BIRC3|ATM|RUNX2|CCND2|CCR7|DDX5|EWSR1|FLI1|GRIA3|GZMB|H3-3B|ID2|IGFBP3|IL2RB|LMO2|MAF|MET|REL|IL1R2|NCOR1|SIX4|H3-5,-3.1,N0
Reactome Gene Sets,6,R-HSA-109581,Apoptosis,,-4.1,2.5,4.5,28162,180,1393,22,1.6,0.33,331|355|1676|1677|1828|3002|3146|3148|5366|5588|5698|5699|5721|6304|7029|7161|7314|7529|7534|10971|22900|23604,XIAP|FAS|DFFA|DFFB|DSG1|GZMB|HMGB1|HMGB2|PMAIP1|PRKCQ|PSMB9|PSMB10|PSME2|SATB1|TFDP2|TP73|UBB|YWHAB|YWHAZ|YWHAQ|CARD8|DAPK2,-3.1,N0
Reactome Gene Sets,6,R-HSA-112409,RAF-independent MAPK1/3 activation,,-4.1,6.2,5.6,28162,23,1393,7,0.5,0.19,1843|1844|1846|3570|3716|11221|80824,DUSP1|DUSP2|DUSP4|IL6R|JAK1|DUSP10|DUSP16,-3.1,N0
Reactome Gene Sets,6,R-HSA-5218859,Regulated Necrosis,,-4,3.9,5,28162,57,1393,11,0.79,0.24,330|331|355|834|837|3002|3146|3552|3606|7314|92421,BIRC3|XIAP|FAS|CASP1|CASP4|GZMB|HMGB1|IL1A|IL18|UBB|CHMP4C,-3,N0
Reactome Gene Sets,6,R-HSA-168643,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",,-4,3.9,5,28162,57,1393,11,0.79,0.24,330|834|835|837|1540|4210|7128|7314|7334|7335|9447,BIRC3|CASP1|CASP2|CASP4|CYLD|MEFV|TNFAIP3|UBB|UBE2N|UBE2V1|AIM2,-3,N0
Reactome Gene Sets,6,R-HSA-9013404,RAC2 GTPase cycle,,-4,3.2,4.8,28162,88,1393,14,1,0.27,396|998|1794|4689|5880|7074|8826|10006|10451|23344|50619|51347|55619|55789,ARHGDIA|CDC42|DOCK2|NCF4|RAC2|TIAM1|IQGAP1|ABI1|VAV3|ESYT1|DEF6|TAOK3|DOCK10|DEPDC1B,-3,N0
Reactome Gene Sets,6,R-HSA-422356,Regulation of insulin secretion,,-4,3.4,4.8,28162,78,1393,13,0.93,0.26,2769|2771|2786|2793|3767|5567|5573|6513|6844|8826|9495|54331|94235,GNA15|GNAI2|GNG4|GNGT2|KCNJ11|PRKACB|PRKAR1A|SLC2A1|VAMP2|IQGAP1|AKAP5|GNG2|GNG8,-3,N0
Reactome Gene Sets,6,R-HSA-3858494,Beta-catenin independent WNT signaling,,-4,2.6,4.5,28162,146,1393,19,1.4,0.31,801|805|2780|2786|2793|5145|5216|5530|5579|5698|5699|5721|5880|7314|23112|51176|54331|54361|94235,CALM1|CALM2|GNAT2|GNG4|GNGT2|PDE6A|PFN1|PPP3CA|PRKCB|PSMB9|PSMB10|PSME2|RAC2|UBB|TNRC6B|LEF1|GNG2|WNT4|GNG8,-3,N0
Reactome Gene Sets,6,R-HSA-9013148,CDC42 GTPase cycle,,-3.9,2.5,4.5,28162,159,1393,20,1.4,0.32,396|397|998|1123|7074|7456|8826|9459|9901|10451|10788|23526|50619|55619|55789|56990|64333|81704|89846|116984,ARHGDIA|ARHGDIB|CDC42|CHN1|TIAM1|WIPF1|IQGAP1|ARHGEF6|SRGAP3|VAV3|IQGAP2|ARHGAP45|DEF6|DOCK10|DEPDC1B|CDC42SE2|ARHGAP9|DOCK8|FGD3|ARAP2,-2.9,N0
Reactome Gene Sets,6,R-HSA-9679506,SARS-CoV Infections,,-3.9,2.6,4.5,28162,147,1393,19,1.4,0.31,478|1655|2589|2908|3570|3716|3718|4124|5133|5926|7314|7428|9219|10284|11320|51742|79668|81030|92421,ATP1A3|DDX5|GALNT1|NR3C1|IL6R|JAK1|JAK3|MAN2A1|PDCD1|ARID4A|UBB|VHL|MTA2|SAP18|MGAT4A|ARID4B|PARP8|ZBP1|CHMP4C,-2.9,N0
